segment_id,label,ch1_mean,ch1_std,ch1_min,ch1_max,ch1_rms,ch1_peak_to_peak,ch2_mean,ch2_std,ch2_min,ch2_max,ch2_rms,ch2_peak_to_peak
4093,Other,0.10087819691143261,0.01390956738957111,0.0419642312152841,0.148782274308735,0.10183264052879505,0.1068180430934509,2.0706670023805147,0.014667258754497748,2.01428309833364,2.12873100164805,2.0707189483913258,0.11444790331440968
4094,Other,0.10061649270585367,0.013936261154916014,0.0457791613257645,0.152597204419215,0.10157705439421408,0.10681804309345051,2.0707806872978067,0.01453470741201644,2.0028383080022,2.12491607153757,2.070831695866453,0.12207776353537003
4095,Other,0.10067600561557716,0.013894884647157067,0.0572239516572056,0.148782274308735,0.10163033959436289,0.09155832265152941,2.071194225721783,0.014588043333304953,2.02572788866508,2.11347128120613,2.0712455990711365,0.08774339254105001
4096,Other,0.10103308307391812,0.014053723602216149,0.0495940914362449,0.156412134529695,0.10200583817855098,0.10681804309345008,2.071059940181894,0.014605884367036633,2.0219129585546,2.12110114142709,2.0711114426037955,0.09918818287248987
4097,Other,0.10080189830922301,0.014000778432842727,0.0534090215467253,0.148782274308735,0.10176956568379611,0.0953732527620097,2.0706570835622276,0.014639174905246728,2.0219129585546,2.12110114142709,2.070708831088605,0.09918818287248987
4098,Other,0.10085378135872554,0.014235354552200326,0.0457791613257645,0.152597204419215,0.10185347580510185,0.10681804309345051,2.0708501190258177,0.014439068070607039,2.01809802844412,2.12110114142709,2.0709004568438316,0.10300311298296982
4099,Other,0.10060123298541172,0.014092335221695375,0.0457791613257645,0.160227064640176,0.10158347301695159,0.1144479033144115,2.0707013367515086,0.0147017896343262,2.02572788866508,2.12873100164805,2.070753526773029,0.10300311298296982
4100,Other,0.10077366782640546,0.014062184606643482,0.0419642312152841,0.164041994750656,0.10175007205451024,0.1220777635353719,2.0709676188732207,0.014511888858245989,2.0219129585546,2.13254593175853,2.0710184628195982,0.11063297320392973
4101,Other,0.10086675212110117,0.01435164335859382,0.0534090215467253,0.148782274308735,0.10188263517671664,0.0953732527620097,2.070932521516204,0.014626821959519096,2.01809802844412,2.13254593175853,2.0709841748777555,0.11444790331440968
4102,Other,0.10033037294756762,0.013651352879631318,0.0534090215467253,0.148782274308735,0.10125484270513795,0.0953732527620097,2.0710958005249327,0.014533321197773732,2.01809802844412,2.12491607153757,2.0711467916053294,0.10681804309344978
4103,Other,0.1006096258316548,0.013913866130471794,0.0495940914362449,0.148782274308735,0.10156718210466543,0.0991881828724901,2.0705716291277523,0.014501490736939649,2.01809802844412,2.12110114142709,2.0706224099488417,0.10300311298296982
4104,Other,0.10100103766099008,0.013614643217926839,0.0495940914362449,0.148782274308735,0.10191451377771558,0.0991881828724901,2.0708714826344368,0.014873748830971513,2.0219129585546,2.12491607153757,2.070924896270465,0.10300311298296982
4105,Other,0.10003662332906064,0.013836440822345291,0.0495940914362449,0.156412134529695,0.10098897514932323,0.10681804309345008,2.070621986205211,0.014173159013794902,2.01809802844412,2.11728621131661,2.0706704924233703,0.09918818287248987
4106,Other,0.10087590795336633,0.014056494114919566,0.0534090215467253,0.144967344198254,0.10185054654845405,0.09155832265152869,2.0708165476408458,0.014883234417782033,2.01428309833364,2.12873100164805,2.070870030844496,0.11444790331440968
4107,Other,0.1004143014099982,0.014061162761009332,0.0419642312152841,0.152597204419215,0.10139402460623388,0.11063297320393091,2.0711614173228328,0.014537232386646497,2.01809802844412,2.12110114142709,2.0712124342356075,0.10300311298296982
4108,Other,0.1009186351706037,0.013979023703536656,0.0495940914362449,0.156412134529695,0.10188220663296144,0.10681804309345008,2.070653268632117,0.014615571104665211,2.01428309833364,2.12491607153757,2.0707048495175706,0.11063297320392973
